"name","Alma_mater"
"Ben Roy Mottelson","Harvard University"
"Masatoshi Koshiba","University of Rochester"
"Masatoshi Koshiba","University of Tokyo"
"Aaron Klug","Trinity College Cambridge"
"Manfred Eigen","University of Göttingen"
"George Andrew Olah","Budapest University of Technology and Economics"
"Harry Markowitz","University of Chicago"
"K. Alex Müller","ETH Zurich"
"Alan MacDiarmid","Victoria University of Wellington"
"Alan MacDiarmid","University of Wisconsin–Madison"
"Alan MacDiarmid","University of Cambridge"
"Sydney Brenner","University of the Witwatersrand"
"Sydney Brenner","University of California Berkeley"
"Sydney Brenner","University of Oxford"
"César Milstein","University of Buenos Aires"
"César Milstein","University of Cambridge"
"Frank Sherwood Rowland","Ohio Wesleyan University"
"Frank Sherwood Rowland","University of Chicago"
"Martin Lewis Perl","Columbia University"
"Martin Lewis Perl","New York University Polytechnic School of Engineering"
"John Vane","St Catherine's College Oxford"
"John Vane","University of Birmingham"
"Herbert Kroemer","University of Göttingen"
"Herbert Kroemer","University of Jena"
"James Watson","University of Chicago"
"James Watson","Indiana University"
"Elias James Corey","Massachusetts Institute of Technology"
"John Forbes Nash Jr.","Princeton University"
"John Forbes Nash Jr.","Carnegie Institute of Technology"
"John Forbes Nash Jr.","Carnegie Mellon University"
"Osamu Shimomura","Nagasaki University"
"Osamu Shimomura","Nagoya University"
"Alexei Alexeyevich Abrikosov","Moscow State University"
"Alexei Alexeyevich Abrikosov","Russian Academy of Sciences"
"Daniel Nathans","University of Delaware"
"Daniel Nathans","Washington University in St. Louis"
"Eric Kandel","Harvard University"
"Eric Kandel","New York University School of Medicine"
"Paul Lauterbur","Case Western Reserve University"
"Paul Lauterbur","University of Pittsburgh"
"Peter Higgs","King's College London"
"Rudolf Mössbauer","Technische Universität München"
"Richard E. Taylor","Stanford University"
"Richard E. Taylor","University of Alberta"
"Gerald Edelman","Perelman School of Medicine at the University of Pennsylvania"
"Gerald Edelman","Rockefeller University"
"Gerald Edelman","Ursinus College"
"Murray Gell-Mann","Massachusetts Institute of Technology"
"Murray Gell-Mann","Yale University"
"Martin Luther King Jr.","Boston University"
"Martin Luther King Jr.","Crozer Theological Seminary"
"Martin Luther King Jr.","Morehouse College"
"John Polanyi","University of Manchester"
"Gary Becker","Princeton University"
"Gary Becker","University of Chicago"
"Reinhard Selten","Goethe University Frankfurt"
"Robert Aumann","Massachusetts Institute of Technology"
"Robert Aumann","City College of New York"
"George E. Smith","University of Chicago"
"George E. Smith","University of Pennsylvania"
"Jerome Isaac Friedman","University of Chicago"
"Martin Karplus","California Institute of Technology"
"Akira Suzuki (chemist)","Purdue University"
"Akira Suzuki (chemist)","Hokkaido University"
"Hamilton O. Smith","University of California Berkeley"
"Hamilton O. Smith","Johns Hopkins School of Medicine"
"James Cronin","Southern Methodist University"
"James Cronin","University of Chicago"
"Riccardo Giacconi","University of Milan"
"Richard F. Heck","University of California Los Angeles"
"David Lee (physicist)","Harvard University"
"David Lee (physicist)","Yale University"
"David Lee (physicist)","University of Connecticut"
"Alice Munro","University of Western Ontario"
"Martinus J. G. Veltman","Utrecht University"
"John Robert Schrieffer","Massachusetts Institute of Technology"
"John Robert Schrieffer","University of Illinois at Urbana–Champaign"
"Michael Smith (chemist)","University of Manchester"
"Sheldon Lee Glashow","Harvard University"
"Sheldon Lee Glashow","Cornell University"
"Dudley R. Herschbach","Stanford University"
"Dudley R. Herschbach","Harvard University"
"Oliver E. Williamson","Massachusetts Institute of Technology"
"Oliver E. Williamson","Stanford University"
"Oliver E. Williamson","Carnegie Mellon University"
"Oliver E. Williamson","Master of Business Administration"
"Oliver E. Williamson","Bachelor of Science"
"Oliver E. Williamson","Doctor of Philosophy"
"Pierre-Gilles de Gennes","École Normale Supérieure"
"Robert Mundell","Massachusetts Institute of Technology"
"Robert Mundell","UBC Vancouver School of Economics"
"Robert Mundell","University of Washington"
"Robert Mundell","London School of Economics"
"Walter Gilbert","Harvard University"
"Walter Gilbert","Trinity College Cambridge"
"François Englert","Université libre de Bruxelles"
"Melvin Schwartz","Columbia University"
"Peter Mansfield","Queen Mary University of London"
"Peter Mansfield","University of London"
"Edmund Phelps","Amherst College"
"Edmund Phelps","Yale University"
"John Gurdon","Christ Church Oxford"
"Robert Curl","Rice University"
"Robert Curl","University of California Berkeley"
"Amartya Sen","Presidency University Kolkata"
"Amartya Sen","Trinity College Cambridge"
"Charles K. Kao","University of Greenwich"
"Charles K. Kao","University College London"
"Charles K. Kao","University of London"
"John L. Hall","Carnegie Institute of Technology"
"Daniel Kahneman","University of California Berkeley"
"Daniel Kahneman","Hebrew University of Jerusalem"
"Howard Martin Temin","California Institute of Technology"
"Howard Martin Temin","Swarthmore College"
"Carlo Rubbia","Columbia University"
"Carlo Rubbia","Scuola Normale Superiore di Pisa"
"William Forsyth Sharpe","University of California Los Angeles"
"Clive Granger","University of Nottingham"
"Ei-ichi Negishi","University of Pennsylvania"
"Ei-ichi Negishi","University of Tokyo"
"Yuan T. Lee","University of California Berkeley"
"Yuan T. Lee","National Taiwan University"
"Yuan T. Lee","National Tsing Hua University"
"Günter Blobel","University of Tübingen"
"Günter Blobel","University of Wisconsin–Madison"
"James Mirrlees","Trinity College Cambridge"
"James Mirrlees","University of Edinburgh"
"Alan J. Heeger","University of Nebraska–Lincoln"
"Alan J. Heeger","University of California Berkeley"
"Gerhard Ertl","University of Stuttgart"
"Gerhard Ertl","Technische Universität München"
"Ferid Murad","DePauw University"
"Ferid Murad","Case Western Reserve University School of Medicine"
"Hideki Shirakawa","Tokyo Institute of Technology"
"Kenneth G. Wilson","California Institute of Technology"
"Kenneth G. Wilson","Harvard University"
"Mario Capecchi","Ohio"
"Mario Capecchi","Antioch College"
"Mario Capecchi","Harvard University"
"Mario Capecchi","George School"
"Roald Hoffmann","Columbia University"
"Roald Hoffmann","Stuyvesant High School"
"Roald Hoffmann","Harvard University"
"Robert Coleman Richardson","Duke University"
"Robert Coleman Richardson","Virginia Tech"
"Robert Lucas Jr.","University of Chicago"
"Robin Warren","University of Adelaide"
"Daniel McFadden","University of Minnesota"
"Ryōji Noyori","Harvard University"
"Ryōji Noyori","Kyoto University"
"Ryōji Noyori","Nagoya University"
"Kurt Wüthrich","University of Basel"
"Kurt Wüthrich","University of Bern"
"Anthony James Leggett","University of Oxford"
"Albert Fert","École normale supérieure"
"David Baltimore","Swarthmore College"
"David Baltimore","Rockefeller University"
"Eugene Fama","University of Chicago"
"Eugene Fama","Tufts University"
"Peter Grünberg","Technische Universität Darmstadt"
"Sidney Altman","Massachusetts Institute of Technology"
"Sidney Altman","University of Colorado Boulder"
"Harold E. Varmus","Harvard University"
"Harold E. Varmus","Amherst College"
"Harold E. Varmus","Columbia University College of Physicians and Surgeons"
"Harry Kroto","University of Sheffield"
"Susumu Tonegawa","University of California San Diego"
"Susumu Tonegawa","Salk Institute for Biological Studies"
"Susumu Tonegawa","Kyoto University"
"Ada Yonath","Weizmann Institute of Science"
"Ada Yonath","Hebrew University of Jerusalem"
"Daniel C. Tsui","University of Chicago"
"Daniel C. Tsui","Augustana College (Illinois)"
"Thomas A. Steitz","Lawrence University"
"Thomas A. Steitz","Harvard University"
"Thomas A. Steitz","Wauwatosa East High School"
"George Akerlof","Massachusetts Institute of Technology"
"George Akerlof","Yale University"
"George Akerlof","Lawrenceville School"
"Peter C. Doherty","University of Queensland"
"Peter C. Doherty","University of Edinburgh"
"Toshihide Maskawa","Nagoya University"
"Edward C. Prescott","Carnegie Mellon University"
"Edward C. Prescott","Case Western Reserve University"
"Edward C. Prescott","Swarthmore College"
"Joseph L. Goldstein","Washington and Lee University"
"Joseph L. Goldstein","University of Texas Southwestern Medical Center"
"Arieh Warshel","Weizmann Institute of Science"
"Arieh Warshel","Technion – Israel Institute of Technology"
"Muhammad Yunus","University of Dhaka"
"Brian Josephson","University of Cambridge"
"Wangari Maathai","Benedictine College"
"Theodor W. Hänsch","Heidelberg University"
"Louis Ignarro","Columbia University"
"Louis Ignarro","University of Minnesota"
"Michael Stuart Brown","University of Pennsylvania"
"Michael Stuart Brown","Perelman School of Medicine at the University of Pennsylvania"
"John E. Walker","St Catherine's College Oxford"
"Joseph Hooton Taylor Jr.","Harvard University"
"Joseph Hooton Taylor Jr.","Haverford College"
"Jules A. Hoffmann","University of Strasbourg"
"Alfred G. Gilman","Case Western Reserve University"
"David Gross","University of California Berkeley"
"David Gross","Hebrew University of Jerusalem"
"Myron Scholes","University of Chicago"
"Myron Scholes","McMaster University"
